Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
350%,102%,69.77,17.32,7.51,0.19,43.13,,
385%,108%,113.92,14.16,7.68,0.5,43.19,0,
661%,120%,86.02,19.92,8.58,0.07,48.41,0.12,0.12
675%,90%,96.02,7.71,7.18,-0.17,43.96,-0.09,0.02
406%,73%,84.47,10.68,5.82,0.04,35.67,-0.19,-0.26
162%,82%,60.68,13.45,7.21,0.42,43.59,0.22,-0.01
155%,91%,60.66,12.12,7.68,2.19,45.32,0.04,0.27
120%,105%,48.26,13.03,9.22,1,54.45,0.2,0.25
153%,117%,46.09,16.92,10.35,1.05,60.05,0.1,0.33
199%,123%,48.03,17.66,11.76,-1.92,66.39,0.11,0.22
304%,148%,29.84,16.94,15.29,0.25,86.37,0.3,0.44
342%,128%,31.53,19.8,14.39,-0.01,80.19,-0.07,0.21
491%,144%,20.94,20.76,16.87,-0.03,94.03,0.17,0.09
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
86%,93%,169.58,9.58,14.11,-1.88,44.24,,
97%,71%,175.59,4.25,14.83,-1.44,47.94,0.08,
143%,94%,114,12.32,24.31,0.22,58.01,0.21,0.31
299%,96%,94.33,17.09,25.47,-0.38,60.51,0.04,0.26
451%,96%,96.49,14.03,19.23,0.05,45.03,-0.26,-0.22
1388%,113%,79.18,20.73,22.53,-0.23,51.63,0.15,-0.15
,134%,72.94,17.81,23.67,-0.4,53.43,0.03,0.19
,154%,83.76,17.23,29.39,-0.59,66,0.24,0.28
,134%,157.19,20.78,44.92,-0.03,63.8,-0.03,0.19
506%,134%,125.26,18.35,48.72,0,69.01,0.08,0.05
368%,164%,134.46,31.41,59.06,0.34,83.54,0.21,0.31
,118%,159.69,17.63,49.12,0.46,71.39,-0.15,0.03
,116%,162.42,17.96,51.22,0.15,74.35,0.04,-0.11
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
184%,173%,22.34,18.31,3.9,1.68,19.77,,
189%,160%,39.09,23.02,5.16,0.24,25.32,0.28,
173%,145%,39.11,20.76,5.95,0.27,28.44,0.12,0.44
157%,120%,38.56,15.88,6.04,1.63,28.18,-0.01,0.11
132%,94%,46.92,14.05,5.15,1.32,24.79,-0.12,-0.13
132%,100%,35.65,14.47,6.05,1.64,29.37,0.18,0.04
120%,110%,26.6,17.64,6.67,1.99,34.75,0.18,0.4
95%,108%,30.42,15.29,7.1,1.26,37.91,0.09,0.29
115%,137%,36.51,20.17,11.66,0.27,55.27,0.46,0.59
104%,136%,38.85,21.48,13.51,0.39,63.37,0.15,0.67
115%,144%,27.58,22.74,16.33,2.31,75.74,0.2,0.37
97%,153%,34.42,55.77,14.62,5.38,69.71,-0.08,0.1
93%,131%,41.68,18.3,12.5,17.08,63.33,-0.09,-0.16
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
131%,134%,79.65,8.89,18.83,0.13,38.92,,
147%,152%,46.91,9.99,27.73,3.8,62.54,0.61,
151%,145%,69.25,10.58,29.79,0.51,67.08,0.07,0.72
269%,144%,41.13,11.11,39.49,0.09,88.91,0.33,0.42
325%,101%,47.71,-13.55,29.01,0.34,65.71,-0.26,-0.02
385%,102%,51.73,-13.17,32.83,-0.08,73.5,0.12,-0.17
502%,93%,58.37,7.61,33.88,0.19,78.51,0.07,0.19
,69%,108.68,5.51,25.03,-1.18,62,-0.21,-0.16
,56%,115.35,-100.08,21.13,-1.11,52.04,-0.16,-0.34
,63%,107.56,"-1,031.17",25.12,-2.08,61.87,0.19,0
,113%,96.96,15.65,25.03,-0.94,61.21,-0.01,0.18
,61%,102.97,-0.9,13.38,1.56,32,-0.48,-0.48
,113%,64.46,-2.37,23.16,0.52,44.23,0.38,-0.28
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
249%,,15.99,32.57,16.07,7.14,51.78,,
255%,,15.88,72.96,16.69,2,54.72,0.06,
273%,,20.37,209.83,15.69,1.71,50.36,-0.08,-0.03
337%,,26.02,-34.43,15.87,1.44,49.92,-0.01,-0.09
153%,,62.45,-5.35,5.85,-3.03,18.19,-0.64,-0.64
159%,,84.35,-8.97,6.16,0,18.66,0.03,-0.63
133%,,102.46,-23.25,6.5,-0.02,19.53,0.05,0.07
147%,,128.56,71.7,5.28,0.48,16.49,-0.16,-0.12
119%,,108.31,57.1,5.35,0.75,17.7,0.07,-0.09
153%,,82.39,967,9.02,-1.67,29.01,0.64,0.76
190%,298%,46.7,21.87,18.23,-1.65,58.82,1.03,2.32
150%,198%,36.58,18.89,19.9,-16.67,66.11,0.12,1.28
138%,151%,25.89,20.51,23.89,2.61,79.17,0.2,0.35
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
260%,,44.32,42.95,32.77,0.76,24.48,,
142%,168%,81.63,23.32,25.54,0.67,18.19,-0.26,
86%,105%,198.93,16.03,17.33,1.53,12.66,-0.3,-0.48
82%,124%,221.87,55.88,18.86,-6.74,13.97,0.1,-0.23
34%,52%,630.12,4.32,7.51,8.16,5.88,-0.58,-0.54
55%,75%,367.88,5.41,12.85,2.81,9.9,0.68,-0.29
66%,79%,406.79,8.61,15.2,2.27,11.71,0.18,0.99
73%,74%,527.33,5.19,16.43,1.38,12.77,0.09,0.29
142%,109%,509.04,10.78,27.77,1.31,21.46,0.68,0.83
124%,105%,547.38,10.59,29.88,1.78,23.09,0.08,0.81
104%,150%,742.21,590.5,28.91,3.95,23.62,0.02,0.1
118%,197%,82.35,19.35,32.54,-1.22,27.48,0.16,0.19
125%,236%,129.98,18.68,32.36,-1,28.95,0.05,0.23
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
183%,171%,26.74,32.23,9.05,1.1,35.13,,
168%,156%,30.86,29.49,9.22,5.83,36.27,0.03,
177%,,33.25,31.61,11.36,-3.31,45.2,0.25,0.29
170%,,29.65,30.12,12.66,1.7,51.21,0.13,0.41
107%,117%,41.02,19.53,8.3,1.35,35.15,-0.31,-0.22
124%,138%,28.04,25.62,10.55,1.89,44.58,0.27,-0.13
125%,129%,26.28,22.61,11.72,24.81,50.42,0.13,0.43
144%,143%,54.77,30.27,16.88,0.14,57.81,0.15,0.3
172%,164%,42.46,30.6,21.19,0.16,71.9,0.24,0.43
231%,209%,33.46,33,31.4,0.69,104.27,0.45,0.8
188%,170%,41.79,26.6,31.35,1.69,104.52,0,0.45
178%,171%,41.65,34.45,33.86,-1.53,114.38,0.09,0.1
151%,161%,35.79,32.4,34.01,-4.3,116.64,0.02,0.12
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
1045%,114%,51.31,19.27,10.61,-0.05,43.75,,
,120%,71.68,15.76,11.36,-0.42,46.33,0.06,
,116%,59.75,16.29,12.38,-0.42,48.07,0.04,0.1
,108%,79.73,14.08,13.29,-0.62,48.85,0.02,0.05
,80%,82.33,8.91,10.65,-0.4,38.93,-0.2,-0.19
,88%,64.71,14.47,12.77,-0.27,45.43,0.17,-0.07
,94%,51.04,14.29,14.46,-0.29,49.57,0.09,0.27
191%,116%,48.15,17.38,18.17,0.39,62.03,0.25,0.37
164%,99%,71.03,14.39,16.27,0.69,55.54,-0.1,0.12
201%,102%,85.56,15.31,16.19,-5.1,55.28,0,-0.11
320%,120%,56.92,17.79,19.33,0.34,66.01,0.19,0.19
409%,114%,73.44,15.87,15.1,0.14,64.27,-0.03,0.16
550%,121%,50.82,17.53,21.53,0.18,70.66,0.1,0.07
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
121%,135%,16.26,15.97,3.77,"-2,594.00",28.1,,
144%,164%,7.75,20.44,4.94,2.45,38.02,0.35,
150%,143%,14.34,19.15,5.06,9.46,40.6,0.07,0.44
123%,119%,15.04,18,4.72,0.68,36.36,-0.1,-0.04
87%,83%,11.99,12.69,3.35,0.57,26.52,-0.27,-0.35
94%,93%,15.93,16.88,3.9,16.94,30.89,0.16,-0.15
108%,101%,8.97,16.87,4.36,8.16,35.6,0.15,0.34
111%,111%,9.42,20.61,4.66,13.18,38.74,0.09,0.25
138%,143%,11.95,24.38,6.52,1.4,54.12,0.4,0.52
146%,163%,9.59,24.33,8.42,2.03,69.09,0.28,0.78
147%,166%,10.18,27.23,9.66,-84.06,80.87,0.17,0.49
170%,202%,5.42,31.37,13.22,9.89,111.37,0.38,0.61
172%,191%,10.81,30.39,14.38,0.99,120.06,0.08,0.48
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
100%,103%,126.04,11.56,10.44,0.93,32.03,,
165%,134%,113.71,12.71,14.21,-0.57,43.61,0.36,
204%,129%,94.61,12.74,14.82,0.22,45.48,0.04,0.42
271%,147%,79.75,16.12,17.39,0.46,53.37,0.17,0.22
253%,90%,208.5,8.73,10.47,0.22,32.12,-0.4,-0.29
391%,104%,108.88,13.48,11.33,-0.1,34.78,0.08,-0.35
,111%,102.38,10.1,12.58,-0.3,38.6,0.11,0.2
,116%,105.02,-376.36,13.49,-0.35,41.4,0.07,0.19
,107%,82.85,-80.7,14.72,-9.56,45.19,0.09,0.17
,125%,105.42,16.65,15.09,3.5,46.3,0.02,0.12
,132%,83.67,13.39,21.33,-0.46,65.48,0.41,0.45
482%,120%,83.21,19.1,19.29,-0.21,59.21,-0.1,0.28
,145%,76.58,25.93,22.73,-0.04,69.76,0.18,0.07
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
123%,129%,76.53,21.99,8.62,-11.29,19.57,,
110%,130%,74.36,34.54,8.19,5.71,19.34,-0.01,
132%,132%,64.85,21.43,8.99,1.95,23.14,0.2,0.18
125%,121%,73.15,19.36,9.01,1.21,23.23,0,0.2
93%,87%,89.3,29.71,5.15,2.28,16.34,-0.3,-0.29
128%,137%,56.41,23.42,8.87,-5.36,27.87,0.71,0.2
206%,211%,36.94,30.23,16.76,7.91,52.6,0.89,2.22
183%,166%,39.28,25.06,21.05,4.34,54.12,0.03,0.94
205%,163%,29.41,25.49,25.52,3.37,65.77,0.22,0.25
218%,143%,27.7,24.27,28.43,2.35,74.26,0.13,0.37
185%,149%,24.64,30.73,32.49,3.78,86.66,0.17,0.32
170%,146%,29.45,30.75,33.47,3.85,91.02,0.05,0.23
138%,122%,34.48,26.75,28.82,4.43,78.65,-0.14,-0.09
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
150%,234%,38.07,26.49,4.58,-1.16,28.87,,
145%,110%,40.74,7.58,4.21,-62.36,25.8,-0.11,
130%,115%,35.7,12.08,4.96,-3.12,29.66,0.15,0.03
151%,102%,36.73,17.07,4.87,-4.19,30.55,0.03,0.18
117%,65%,52.46,6.97,2.3,-5.78,15.86,-0.48,-0.47
147%,143%,26.56,32.56,4.37,-8.47,30.12,0.9,-0.01
166%,176%,25.45,14.6,5.95,2.29,42.04,0.4,1.65
149%,134%,28.52,8.64,5.35,2.49,39.06,-0.07,0.3
179%,174%,20.04,23.23,10.48,0.2,68.05,0.74,0.62
150%,150%,18.22,10.85,12.3,0.28,80.7,0.19,1.07
116%,122%,26.65,15.26,11.28,0.6,75.86,-0.06,0.11
87%,91%,30.45,11.93,9.98,0.83,67.51,-0.11,-0.16
94%,103%,29.36,12.98,11.03,-3.58,75.14,0.11,-0.01
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
115%,130%,137.35,21.12,29.48,-271.06,35.9,,
119%,129%,128.17,18.72,33.74,2.98,41.93,0.17,
134%,128%,104.21,20.01,41.96,2.87,53.22,0.27,0.48
91%,86%,161.14,13.33,31.46,33.79,40.79,-0.23,-0.03
87%,83%,123.65,17.66,30.13,61.73,40.08,-0.02,-0.25
105%,104%,111.07,18.54,39.64,2.91,52.66,0.31,0.29
82%,81%,156.5,12.63,30.52,3.77,41.31,-0.22,0.03
94%,93%,147.77,18.08,34.95,-7.14,48.27,0.17,-0.08
120%,124%,117.85,23.44,45.72,-5.18,64.7,0.34,0.57
109%,119%,135.09,20.65,43.59,-4.82,62.58,-0.03,0.3
81%,79%,176.59,11.07,28.91,-3.09,44.17,-0.29,-0.32
103%,100%,146.91,21.63,35.08,-3.67,54.51,0.23,-0.13
109%,103%,144.97,21.92,35.51,-10,55.24,0.01,0.25
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
142%,170%,13.01,19.45,2.77,5.13,21.01,,
155%,163%,16.84,19.91,4.02,28.47,30.26,0.44,
121%,136%,12.26,26.78,3.68,21.45,27.58,-0.09,0.31
99%,113%,14.88,15.78,3.58,3.27,26.67,-0.03,-0.12
89%,100%,14.93,12.56,3.47,3.18,25.88,-0.03,-0.06
68%,72%,23.01,9.04,2.41,1.51,20.52,-0.21,-0.23
108%,115%,20.61,16.23,4.14,0.54,35.71,0.74,0.38
90%,106%,32.49,22.28,4.05,0.31,34.53,-0.03,0.68
57%,82%,66.76,-4.1,2.91,1.08,26.23,-0.24,-0.27
167%,234%,25.15,-11.79,7.78,-1.14,67.46,1.57,0.95
238%,,43.9,-15.68,11.1,0.36,72.12,0.07,1.75
317%,,56.75,-8.07,13.6,0.03,61.22,-0.15,-0.09
89%,,161.65,-53.13,3.67,0.1,16.47,-0.73,-0.77
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
1549%,189%,35.44,13.83,8.49,-0.07,17.84,,
412%,223%,31.94,14.3,17.76,0.4,36.69,1.06,
294%,143%,40.19,11.92,15.22,0.16,31.23,-0.15,0.75
339%,156%,33.03,20.43,22,-0.08,44.63,0.43,0.22
,90%,53.02,6.85,16.62,-0.27,33.29,-0.25,0.07
,133%,27.66,44.84,24.57,-0.35,48.65,0.46,0.09
,162%,48.57,145.11,23.23,-0.84,45.71,-0.06,0.37
,223%,51.2,24.03,26.5,-1.04,49.26,0.08,0.01
,287%,48.41,57.52,32.81,-1.5,60.4,0.23,0.32
,264%,34.1,20.88,45.63,-0.9,83.92,0.39,0.7
,190%,36.76,17.31,50.48,-0.25,92.07,0.1,0.52
,112%,25.7,-8.54,38.92,0.38,70.79,-0.23,-0.16
,128%,18.06,-42.47,55.33,0.23,95.98,0.36,0.04
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,0.75,-11.04,0.81,1.77,42.74,,
,,2.24,-22.91,1.12,0.17,40.76,-0.05,
,,1.04,-343.73,2.23,-0.28,75.62,0.86,0.77
,,1.89,-631.69,3.7,-0.4,101.07,0.34,1.48
,100%,5.45,19.06,1.99,-0.52,53.19,-0.47,-0.3
,245%,2.97,60.66,4.17,-1.24,106.15,1,0.05
,239%,3.91,99.1,3.75,-0.24,81.26,-0.23,0.53
,335%,7.15,58.28,4.73,-0.17,101.4,0.25,-0.04
,573%,2.66,72.86,10.06,-0.28,206.2,1.03,1.54
,474%,3.08,93.89,8.8,-0.1,177.45,-0.14,0.75
,579%,2.84,-45.71,12.8,-0.09,226.73,0.28,0.1
,639%,5.48,94.21,18.78,0.61,302.4,0.33,0.7
,818%,4.4,329.86,24.25,0,339.76,0.12,0.5
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
169%,119%, -   ,24.12,10.31,-0.2,36.18,,
,106%, -   ,14.02,11.33,-0.95,39.12,0.08,
,113%, -   ,14.5,14.9,-1.85,50.75,0.3,0.4
,69%, -   ,10.76,9.83,-3.35,36.47,-0.28,-0.07
,62%,24.08,20.42,8.11,-28.43,29.82,-0.18,-0.41
17607%,84%,7.72,26.6,9.46,2.98,33.78,0.13,-0.07
23761%,185%,5.37,54.68,15.08,-2.07,51.95,0.54,0.74
19854%,172%,5.3,19.14,16.97,-1.65,57.03,0.1,0.69
,157%,6.61,20.99,18.42,-2.44,56.67,-0.01,0.09
,102%,10.71,10.05,18.7,-0.13,51.87,-0.08,-0.09
,156%,10.64,41.53,26.07,0.04,71.84,0.39,0.27
,168%,10.65,34.57,29.76,-21.69,81.59,0.14,0.57
,84%,26.93,5.19,21.73,-0.09,59.43,-0.27,-0.17
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,126%,36.73,13.66,3.73,-0.57,30.33,,
,126%,57.03,17.47,4.4,0.69,36.69,0.21,
145%,129%,25.86,23.19,5.08,-4.61,41.75,0.14,0.38
186%,158%,28.52,25.37,6.51,-0.62,53.28,0.28,0.45
117%,97%,31.08,16.78,4.39,-0.51,33.55,-0.37,-0.2
,141%,13.95,36.91,5.75,-0.5,43.92,0.31,-0.18
,161%,13.31,28.56,6.69,-0.64,44.84,0.02,0.34
,160%,14.69,17.18,8.19,-0.54,54.79,0.22,0.25
,177%,9.67,48.34,8.85,-0.87,58.98,0.08,0.32
,240%,5.83,34.93,13.55,-1.2,89.78,0.52,0.64
,188%,11.01,29.8,11.48,-1.09,75.7,-0.16,0.28
,140%,15.27,93.09,7.95,-0.91,52.13,-0.31,-0.42
,253%,8.82,-28.75,12.12,-1.22,70.14,0.35,-0.07
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
272%,106%,82.94,20.71,2.41,0.01,18.85,,
537%,116%,100.32,-10.2,3.02,-0.64,19.69,0.04,
,109%,48.43,9.23,4.34,1.57,28.16,0.43,0.49
,104%,38.52,19.69,4.86,2.48,31.31,0.11,0.59
,79%,70.8,14.41,3.75,-0.74,24.06,-0.23,-0.15
277%,90%,37.98,13.5,4.53,-0.45,25.79,0.07,-0.18
272%,105%,42.19,14.56,5.63,-0.4,31.88,0.24,0.33
307%,113%,54,16.25,6.39,0.18,36.07,0.13,0.4
,114%,93.24,20.68,12.27,-0.02,39.08,0.08,0.23
,120%,77.27,17.02,13.36,-0.02,42.39,0.08,0.18
,144%,58.56,20.74,16.96,-0.04,53.52,0.26,0.37
,124%,58.54,18.5,16.2,-0.02,51.07,-0.05,0.2
,116%,50.24,18.72,16.67,-0.25,52.59,0.03,-0.02
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
109%,133%,189.64,21.34,5.65,8.18,9.56,,
173%,235%,114.33,31.27,12.23,1.28,20.95,1.19,
124%,155%,135.72,21.44,9.71,1.91,17.9,-0.15,0.87
207%,243%,67.81,33.95,18.46,-7.59,36.5,1.04,0.74
127%,139%,99.01,17.85,13.61,-8.12,27.49,-0.25,0.54
144%,172%,126.29,27.7,23.77,1.11,43.21,0.57,0.18
147%,164%,72.47,24.91,28.54,1.2,54.05,0.25,0.97
102%,114%,122.13,17.66,21.66,-6.48,44.69,-0.17,0.03
95%,129%,241.8,30.68,44.18,0.24,54,0.21,0
107%,161%,188.43,31.22,54.34,0.33,70.24,0.3,0.57
116%,184%,200.93,32.07,61.48,-1.78,84.67,0.21,0.57
115%,154%,196.26,24.55,59.17,-2.4,87.41,0.03,0.24
94%,118%,207.78,18.22,47.42,-6.08,76.9,-0.12,-0.09
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
207%,166%, -   ,24.94,1.93,0.17,83.8,,
199%,168%, -   ,27.77,2.12,0.14,92.2,0.1,
,226%, -   ,52.76,3.03,-0.83,129.25,0.4,0.54
,149%,2.71,22.99,2.43,-1.11,97.49,-0.25,0.06
,124%,2.94,36.72,2.06,-1.55,76.75,-0.21,-0.41
,126%,0.99,28.75,2.41,-1.66,83.65,0.09,-0.14
,233%,0.79,100.19,3.58,-0.7,114.22,0.37,0.49
1021%,311%,0.67,113.31,4.76,-0.36,140.51,0.23,0.68
1066%,300%,0.79,43.01,5.34,-0.49,146.65,0.04,0.28
,221%,2.41,35.52,5.37,-0.44,143.51,-0.02,0.02
,331%,1.23,100.29,13.16,-0.1,206.6,0.44,0.41
,346%,1.19,68.6,15.65,-0.09,239.41,0.16,0.67
,270%,1.71,47.19,13.94,-0.75,212.83,-0.11,0.03
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
97%,125%, -   ,15.1,5.53,0.45,149.5,,
130%,124%, -   ,18.63,8.69,0.16,208.6,0.4,
117%,113%, -   ,15.57,9.56,0.13,224.2,0.07,0.5
29%,17%, -   ,-1.04,1.64,0.18,35.5,-0.84,-0.83
8%,5%, -   ,-1.15,0.62,-0.69,11.5,-0.68,-0.95
17%,, -   ,-1.49,3.33,-0.39,17.6,0.53,-0.5
19%,, -   ,-123.08,3.53,-1.84,16,-0.09,0.39
22%,85%, -   ,14.74,2.27,4.98,7.96,-0.5,-0.55
28%,95%, -   ,-22.95,2.56,1.71,8.95,0.12,-0.44
99%,296%, -   ,67.72,5.64,-1.11,19.64,1.19,1.47
138%,211%, -   ,24.26,7.02,-0.78,24.26,0.24,1.71
181%,230%, -   ,32.57,8.64,-2.87,29.64,0.22,0.51
230%,161%, -   ,19.05,9.49,0.6,34.67,0.17,0.43
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
130%,181%,62.52,17.52,11.09,1.16,36.18,,
106%,136%,88.46,12.83,9.96,1.12,33.55,-0.07,
100%,116%,87.57,12.08,10.99,2.85,37.57,0.12,0.04
120%,125%,75.47,14.65,14.2,1.2,48.48,0.29,0.45
60%,60%,150.64,7.63,8.21,0.57,24.86,-0.49,-0.34
81%,83%,84.53,27.9,10.57,0.82,31.81,0.28,-0.34
123%,129%,63.69,18.59,17.25,6.61,50.76,0.6,1.04
109%,106%,83.55,11.08,14.56,8.38,43.53,-0.14,0.37
130%,119%,101.79,15.66,25.5,0.16,54.18,0.24,0.07
162%,157%,64.56,19.52,36.16,0.22,76.12,0.4,0.75
151%,130%,78.8,18.07,31.8,-1.95,67.96,-0.11,0.25
105%,92%,88.87,12.3,23.88,-1.64,52.04,-0.23,-0.32
114%,113%,68.78,15.76,28.94,-4.36,66.81,0.28,-0.02
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
143%,140%,34.51,17.2,14.66,0.9,67.59,,
130%,126%,45.34,16.38,14.25,1.14,68.65,0.02,
122%,150%,26.7,17.22,18.71,1.64,92.32,0.34,0.37
201%,163%,27.25,21.34,23.08,0.77,119.52,0.29,0.74
159%,100%,45.3,13.41,15.74,0.62,83.13,-0.3,-0.1
246%,91%,39.03,12.99,15.48,0.34,81.84,-0.02,-0.32
144%,75%,39.2,10.64,12.66,0.66,70.83,-0.13,-0.15
144%,73%,67.77,9.68,12.88,0.7,73.05,0.03,-0.11
105%,69%,64.41,13.39,11.34,0.15,63.75,-0.13,-0.1
212%,76%,64.18,15.86,11.29,-0.16,63.27,-0.01,-0.13
149%,116%,44,16.76,15.68,0.32,87.48,0.38,0.37
166%,94%,45.2,-69.05,12.19,1.19,68.36,-0.22,0.08
169%,89%,49.64,9.72,12.45,0.38,69.53,0.02,-0.21
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
149%,238%,18.93,"1,290.00",2.45,4.27,10.32,,
151%,205%,18.67,32.7,2.48,-19.53,10.4,0.01,
141%,183%,19.23,22.4,2.71,-12.92,11.76,0.13,0.14
126%,131%,32.64,24.57,2.6,-5.2,11.5,-0.02,0.11
155%,136%,18.81,25.07,3.06,5.11,13.74,0.19,0.17
274%,154%,13.38,22.27,4.93,1.53,21.71,0.58,0.89
408%,235%,8.36,44.17,9.3,3.08,40.42,0.86,1.94
288%,178%,9.48,35.71,8.07,2.52,35.35,-0.13,0.63
309%,198%,7.7,36.66,10.31,2.06,45.09,0.28,0.12
163%,121%,10.51,19.23,7.19,3.58,32.88,-0.27,-0.07
178%,156%,6.69,17.03,13.73,5.03,63.69,0.94,0.41
193%,167%,6.03,35.1,17.01,1.86,78.98,0.24,1.4
194%,163%,6.21,33.91,18.35,1.88,85.8,0.09,0.35
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
152%,132%,109.73,15.85,29.39,0.92,44.07,,
163%,172%,123.5,39.07,35.41,10.48,53.14,0.21,
150%,176%,93.63,26.34,41.47,5.35,61.89,0.16,0.4
201%,191%,68.95,20.16,53.96,1.37,81.64,0.32,0.54
109%,105%,68.53,13.46,36.6,2.08,55.61,-0.32,-0.1
97%,82%,86.72,11.95,32.25,2.39,48.87,-0.12,-0.4
83%,73%,101.83,10.76,27.57,1.86,41.64,-0.15,-0.25
109%,74%,115.03,11.57,28.75,0.85,43.37,0.04,-0.11
113%,57%,261.74,20.94,25.43,0.13,29.74,-0.31,-0.29
146%,69%,282.15,13.7,23.47,0.1,27.39,-0.08,-0.37
241%,116%,236.3,19.72,31.89,-0.05,37.08,0.35,0.25
177%,84%,328.34,10.93,25.55,-0.07,27.77,-0.25,0.01
270%,110%,373.17,24.5,30.08,-0.04,32.58,0.17,-0.12
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
290%,243%,18.77,47.36,5.96,2.23,27.94,,
267%,237%,18.14,39.26,7.21,3.01,33.76,0.21,
273%,229%,17.51,38.21,8.63,2.84,40.5,0.2,0.45
236%,204%,17.23,36.93,9.52,2.56,44.68,0.1,0.32
140%,124%,20.15,24.28,7.05,8.83,33.27,-0.26,-0.18
126%,122%,20.37,31.32,7.37,-24.8,34.77,0.05,-0.22
173%,172%,15.79,34.34,11.58,23,54.6,0.57,0.64
121%,119%,19.44,22.88,8.68,11.74,40.96,-0.25,0.18
112%,107%,21.3,25.19,8.16,8.91,39.55,-0.03,-0.28
123%,116%,19.67,26.34,8.96,11.19,44.25,0.12,0.08
116%,111%,22.05,23.23,8.55,11.61,44.61,0.01,0.13
106%,105%,19.1,18.79,8.21,28.89,45.1,0.01,0.02
112%,113%,17.47,22.5,9.58,-14.53,53.11,0.18,0.19
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,0,0.26,0,,
111%,171%,63.84,17.33,3.93,-2.1,22.53,,
87%,112%,71.09,14.09,3.27,-0.87,19.73,-0.12,
121%,134%,59.66,15.82,4.25,-16.65,29.74,0.51,0.32
41%,31%,202.09,-0.44,1.11,-0.62,7.75,-0.74,-0.61
121%,91%,75.83,11.75,3.81,-0.63,24.2,2.12,-0.19
118%,78%,80.06,8.05,3.53,-40.93,23.6,-0.02,2.05
119%,86%,87.99,8.51,3.88,-2.54,29.02,0.23,0.2
199%,182%,48.54,30.72,8.31,-1.78,61.44,1.12,1.6
177%,232%,47.29,41.71,9.03,4.69,69.66,0.13,1.4
183%,283%,49.05,28.55,10.85,2.73,85.36,0.23,0.39
278%,283%,47.68,21.81,17.01,0.43,124.3,0.46,0.78
